"MDC","PDC","CTYPE","HIERAR","CNAME"
"06","6H","D",,"Miscellneous digestive disorders"
"06","6J","D",,"Other digestive system diagnoses"
"06","6K","D",,"Abdominal pain or mesenteric adenitis"
"06","6L","D",,"Intestinal helminthiases"
"06","6M","D",,"Oesophagitis, gastritis and dyspepsia"
"06","6PA","P","04","Rectal resection"
"06","6PB","P","05","Major small & large bowel procedure"
"06","6PC","P","13","Peritoneal adhesiolysis"
"06","6PD","P","12","Minor small & large bowel procedure"
"06","6PE","P","03","Stomach, esophagus & duodenal procedure"
"06","6PF","P","30","Anal & stomal procedure"
"06","6PG","P","21","Hernia proc, except inquinal & femoral"
"06","6PH","P","22","Inquinal & femoral hernia procedure"
"06","6PJ","P","20","Appendectomy"
"06","6PK","P","10","Other digestive system OR procedure"
"06","6PL","P","14","Pyloromyotomy procedure"
"06","6PM","P","11","Complex therapeutic gastroscopy"
"06","6PN","P","23","Other gastroscopy"
"06","6PP","P","24","Complex therapeutic colonoscopy"
"06","6PQ","P","25","Other colonoscopy"
"06","6PR","P","31","Dilation of intestine"
"06","6PS","P","01","Lap stomach, esophagus & duodenal proc"
"06","6PT","P","06","Lap peritoneal adhesiolysis"
"06","6PU","P","15","Laparoscopic appendectomy"
"06","6PV","P","02","Stomach, esophagus & duodenal resection"
"07","7A","D",,"Cirrhosis & alcoholic hepatitis"
"07","7B","D",,"Malignancy of hepatobil system or pancreas"
"07","7C","D",,"Disorders of pancreas, except malignancy"
"07","7D","D",,"Disor of liver, exc malig, cirrho, alc hep"
"07","7E","D",,"Disorder of biliary tract"
"07","7PA","P","01","Pancreas, liver resection & shunt proc"
"07","7PB","P","02","Biliary tract procedures"
"07","7PC","P","05","Opened cholecystectomy"
"07","7PD","P","06","Hepatobiliary diagnostic proc"
"07","7PE","P","07","Oth hepatobil and pancreas OR procedure"
"07","7PF","P","04","Laparoscopic cholecystectomy"
"07","7PG","P","03","Pancreas and liver proc except resection"
"07","7PH","P","10","ERCP with therapeutic procedures"
"08","8A","D",,"Fracture of femur"
"08","8B","D",,"Fracture of hip and pelvis"
"08","8C","D",,"Sprain,stain&dislocation of hip,pelvis&thigh"
"08","8D","D",,"Osteomyelitis"
"08","8E","D",,"Pathological fracture and malignancy"
"08","8F","D",,"Connective tissue disorders"
"08","8G","D",,"Septic arthritis"
"08","8H","D",,"Medical back problems"
"08","8J","D",,"Bone disease and specific arthropathies"
"08","8K","D",,"Nonspecific arthropathies"
"08","8L","D",,"Signs and symptoms of MS system & CT"
"08","8M","D",,"Tendonitis, myositis and bursitis"
"08","8N","D",,"Aftercare, MS system & CT"
"08","8P","D",,"Fx, spr, str & disloc of forearm,hand & foot"
"08","8Q","D",,"Fx, spr, str & disloc of up arm & low leg"
"08","8R","D",,"other MS system and CT diagnoses"
"08","8S","D",,"Major connective tissue dx"
"08","8PA","P","13","Total hip replacement"
"08","8PB","P","20","Knee replacement"
"08","8PC","P","21","Oth maj jt repl &limb reattach of low/up ext"
"08","8PD","P","05","Spinal fusion"
"08","8PE","P","15","Back & neck procedure except spinal fusion"
"08","8PF","P","07","Amputation for MS & CT disorders"
"08","8PG","P","22","Biopsies for MS & CT disorders"
"08","8PH","P","24","Skin graft except hand for MS&CT"
"08","8PJ","P","23","Hip & femur procedures except replacement"
"08","8PK","P","25","Knee procedures except replacement"
"08","8PL","P","33","Shoulder,elbow& forearm proc exc replacement"
"08","8PM","P","34","Humerus,tibia,fibula& ankle proc exc replace"
"08","8PN","P","44","Wrist & hand procedure except replacement"
"08","8PP","P","42","Foot procedures"
"08","8PQ","P","41","Loc exc& remov of int fix dev of hip& femur"
"08","8PR","P","43","Loc exc& remov of int fix dev exc hip& femur"
"08","8PS","P","40","Soft tissue procedures"
"08","8PT","P","32","Arthroscopy"
"08","8PU","P","30","Other MS & CT OR Procedures"
"08","8PV","P","14","Partial hip replacement"
"08","8PW","P","06","Total hip revision"
"08","8PX","P","11","Total knee revision"
"08","8PY","P","12","Partial knee revision"
"08","8PZ","P","10","Partial hip revision"
"08","8QA","P","31","Wound debridement for MS&CT"
"08","8QB","P","04","Multiple (2-4) wound debridement for MS&CT"
