"code","validcode","todel","desc"
"A190","TRUE",,"Acute miliary tuberculosis of a single specified site"
"A191","TRUE",,"Acute miliary tuberculosis of multiple sites"
"A192","TRUE",,"Acute miliary tuberculosis, unspecified"
"A198","TRUE",,"Other miliary tuberculosis"
"A199","TRUE",,"Miliary tuberculosis, unspecified"
"A20","FALSE",,"Plague"
"A200","TRUE",,"Bubonic plague"
"A201","TRUE",,"Cellulocutaneous plague"
"A202","TRUE",,"Pneumonic plague"
"A203","TRUE",,"Plague meningitis"
"A207","TRUE",,"Septicaemic plague"
"A208","TRUE",,"Other forms of plague"
"A209","TRUE",,"Plague, unspecified"
"A21","FALSE",,"Tularaemia"
"A210","TRUE",,"Ulceroglandular tularaemia"
"A211","TRUE",,"Oculoglandular tularaemia"
"A212","TRUE",,"Pulmonary tularaemia"
"A213","TRUE",,"Gastrointestinal tularaemia"
"A217","TRUE",,"Generalized tularaemia"
"A218","TRUE",,"Other forms of tularaemia"
"A219","TRUE",,"Tularaemia, unspecified"
"A22","FALSE",,"Anthrax"
"A220","TRUE",,"Cutaneous anthrax"
"A221","TRUE",,"Pulmonary anthrax"
"A222","TRUE",,"Gastrointestinal anthrax"
"A227","TRUE",,"Anthrax septicaemia"
"A228","TRUE",,"Other forms of anthrax"
"A229","TRUE",,"Anthrax, unspecified"
"A23","FALSE",,"Brucellosis"
"A230","TRUE",,"Brucellosis due to Brucella melitensis"
"A231","TRUE",,"Brucellosis due to Brucella abortus"
"A232","TRUE",,"Brucellosis due to Brucella suis"
"A233","TRUE",,"Brucellosis due to Brucella canis"
"A238","TRUE",,"Other brucellosis"
"A239","TRUE",,"Brucellosis, unspecified"
"A24","FALSE",,"Glanders and melioidosis"
"A240","TRUE",,"Glanders"
"A241","TRUE",,"Acute and fulminating melioidosis"
"A242","TRUE",,"Subacute and chronic melioidosis"
"A243","TRUE",,"Other melioidosis"
"A244","TRUE",,"Melioidosis, unspecified"
"A25","FALSE",,"Rat-bite fevers"
"A250","TRUE",,"Spirillosis"
"A251","TRUE",,"Streptobacillosis"
"A259","TRUE",,"Rat-bite fever, unspecified"
"A26","FALSE",,"Erysipeloid"
"A260","TRUE",,"Cutaneous erysipeloid"
"A267","TRUE",,"Erysipelothrix septicaemia"
"A268","TRUE",,"Other forms of erysipeloid"
"A269","TRUE",,"Erysipeloid, unspecified"
"A27","FALSE",,"Leptospirosis"
"A270","TRUE",,"Leptospirosis icterohaemorrhagica"
"A278","TRUE",,"Other forms of leptospirosis"
"A279","TRUE",,"Leptospirosis, unspecified"
"A28","FALSE",,"Other zoonotic bacterial diseases, not elsewhere classified"
"A280","TRUE",,"Pasteurellosis"
"A281","TRUE",,"Cat-scratch disease"
"A282","TRUE",,"Extraintestinal yersiniosis"
"A288","TRUE",,"Other specified zoonotic bacterial diseases, not elsewhere classified"
"A289","TRUE",,"Zoonotic bacterial disease, unspecified"
"A30","FALSE",,"Leprosy [Hansen's disease]"
"A300","TRUE",,"Indeterminate leprosy"
"A301","TRUE",,"Tuberculoid leprosy"
"A302","TRUE",,"Borderline tuberculoid leprosy"
"A303","TRUE",,"Borderline leprosy"
"A304","TRUE",,"Borderline lepromatous leprosy"
"A305","TRUE",,"Lepromatous leprosy"
"A308","TRUE",,"Other forms of leprosy"
"A309","TRUE",,"Leprosy, unspecified"
"A31","FALSE",,"Infection due to other mycobacteria"
"A310","TRUE",,"Pulmonary mycobacterial infection"
"A311","TRUE",,"Cutaneous mycobacterial infection"
"A318","TRUE",,"Other mycobacterial infections"
"A319","TRUE",,"Mycobacterial infection, unspecified"
"A32","FALSE",,"Listeriosis"
"A320","TRUE",,"Cutaneous listeriosis"
"A321","TRUE",,"Listerial meningitis and meningoencephalitis"
"A327","TRUE",,"Listerial septicaemia"
"A328","TRUE",,"Other forms of listeriosis"
"A329","TRUE",,"Listeriosis, unspecified"
"A33","TRUE",,"Tetanus neonatorum"
"A34","TRUE",,"Obstetrical tetanus"
"A35","TRUE",,"Other tetanus"
"A36","FALSE",,"Diphtheria"
"A360","TRUE",,"Pharyngeal diphtheria"
"A361","TRUE",,"Nasopharyngeal diphtheria"
"A362","TRUE",,"Laryngeal diphtheria"
"A363","TRUE",,"Cutaneous diphtheria"
"A368","TRUE",,"Other diphtheria"
"A369","TRUE",,"Diphtheria, unspecified"
"A37","FALSE",,"Whooping cough"
"A370","TRUE",,"Whooping cough due to Bordetella pertussis"
"A371","TRUE",,"Whooping cough due to Bordetella parapertussis"
"A378","TRUE",,"Whooping cough due to other Bordetella species"
"A379","TRUE",,"Whooping cough, unspecified"
"A38","TRUE",,"Scarlet fever"
"A39","FALSE",,"Meningococcal infection"
"A390","TRUE",,"Meningococcal meningitis (G01*)"
"A391","TRUE",,"Waterhouse-Friderichsen syndrome (E35.1*)"
"A392","TRUE",,"Acute meningococcaemia"
"A393","TRUE",,"Chronic meningococcaemia"
"A394","TRUE",,"Meningococcaemia, unspecified"
"A395","TRUE",,"Meningococcal heart disease"
"A398","TRUE",,"Other meningococcal infections"
"A399","TRUE",,"Meningococcal infection, unspecified"
"A40","FALSE",,"Streptococcal septicaemia"
"A400","TRUE",,"Septicaemia due to Streptococcus, group A"
"A401","TRUE",,"Septicaemia due to Streptococcus, group B"
"A402","TRUE",,"Septicaemia due to Streptococcus, group D"
"A403","TRUE",,"Septicaemia due to Streptococcus pneumoniae"
"A408","TRUE",,"Other streptococcal septicaemia"
"A409","TRUE",,"Streptococcal septicaemia, unspecified"
"A41","FALSE",,"Other septicaemia"
"A410","TRUE",,"Septicaemia due to Staphylococcus aureus"
"A411","TRUE",,"Septicaemia due to other specified staphylococcus"
"A412","TRUE",,"Septicaemia due to unspecified staphylococcus"
"A413","TRUE",,"Septicaemia due to Haemophilus influenzae"
"A414","TRUE",,"Septicaemia due to anaerobes"
"A415","TRUE",,"Septicaemia due to other gram-negative organisms"
