"CCROW","CCL"
"84","24222222222222222222222222222222222222222222222232222222222222222122212222222222222222222222212222"
"85","22222222222222222222222222222222222222222222222232222222222222222222222222222222222222222222222222"
"86","22222222222222222222222222222222222222222222222212222222222222222222222222222222222222222222222222"
"87","22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222221"
"88","22222222222222222222222222222222222222222222222222222222222222222222222222222222222222222221222222"
"89","22222222222222222222222222222222222222222222222222222222222212222222222212222222222221222222222222"
"90","21212222222222222222222222222222222222222222222222222212222122221222122122221122222112222222222212"
"91","22222222222222222222222222222222222222222223222222222222222122222222222122222222222222222222222222"
"92","22222222222222222222222222222222222222222222222222222222222122122222222222222222222122222222222212"
"93","22222222222222222222222222222222222222222222222222222222222222222222222222222122222222222222222222"
"94","22221222222222112222222222222222222222222222222222222222222223222121222122222222222222212222222222"
"95","22222222222222222222222222222222222222222222222222222222222222222232222222222222222222222222222222"
"96","22222222222222222222222222222222222222222222222222222222222111111111111111111121111111111111111111"
"97","22222222222222222222222222222222222222222222222222222222222111111111111111111111111111111111111111"
"98","22222222222222222222222222222222222222222222222212222222222111111111111111111111111111111111111111"
"99","22222212223333322222332232232222222222232222223222222222222222222332222222222223222222222222223232"
"100","21122211222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222"
"101","11111111111111111111111111111111111111111111111112211111111222222222222222222222222222222222222222"
"102","22222222222222222222222212222221111122222222221111122222222012222221111111111111221111111111112111"
"103","11111111111111111111111110111111111111111111111111111111111101000111010000111011101100100110011110"
"104","11111111111110111111000000010000000010111010011001111011111011101111001010100111011101111111111111"
"105","22222222222222222222222222222222222222222222222222022222222222222222222222222222222222222222222222"
"106","11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"
