Variable,Value
year,2022
n_total,7855
n_age_consistent,7855
percent_age_consistent,100
n_date_adm_orig_present,7855
percent_date_adm_orig_present,100
n_date_dis_orig_present,7855
percent_date_dis_orig_present,100
n_date_rec_orig_present,7855
percent_date_rec_orig_present,100
n_date_ref_orig_present,595
percent_date_ref_orig_present,7.57
n_date_check_orig_present,7855
percent_date_check_orig_present,100
n_pat_bdate_orig_present,0
percent_pat_bdate_orig_present,0
n_date_ext_orig_present,7855
percent_date_ext_orig_present,100
n_time_adm_orig_present,7855
percent_time_adm_orig_present,100
n_time_dis_orig_present,7855
percent_time_dis_orig_present,100
n_icd_present,7796
percent_icd_present,99.25
n_rvs_present,4088
percent_rvs_present,52.04
