Variable,Value
year,2018
n_total,6886156
n_age_consistent,6662570
percent_age_consistent,96.75
n_date_adm_orig_present,6886156
percent_date_adm_orig_present,100
n_date_dis_orig_present,6886156
percent_date_dis_orig_present,100
n_date_rec_orig_present,6886156
percent_date_rec_orig_present,100
n_date_ref_orig_present,760495
percent_date_ref_orig_present,11.04
n_date_check_orig_present,6883824
percent_date_check_orig_present,99.97
n_pat_bdate_orig_present,4920503
percent_pat_bdate_orig_present,71.46
n_date_ext_orig_present,6886156
percent_date_ext_orig_present,100
n_time_adm_orig_present,6886156
percent_time_adm_orig_present,100
n_time_dis_orig_present,6886156
percent_time_dis_orig_present,100
n_icd_present,6325709
percent_icd_present,91.86
n_rvs_present,2638887
percent_rvs_present,38.32
