Variable,Value
year,2022
n_total,195698
n_age_consistent,195698
percent_age_consistent,100
n_date_adm_orig_present,195698
percent_date_adm_orig_present,100
n_date_dis_orig_present,195698
percent_date_dis_orig_present,100
n_date_rec_orig_present,195698
percent_date_rec_orig_present,100
n_date_ref_orig_present,14496
percent_date_ref_orig_present,7.41
n_date_check_orig_present,195679
percent_date_check_orig_present,99.99
n_pat_bdate_orig_present,0
percent_pat_bdate_orig_present,0
n_date_ext_orig_present,195698
percent_date_ext_orig_present,100
n_time_adm_orig_present,195698
percent_time_adm_orig_present,100
n_time_dis_orig_present,195698
percent_time_dis_orig_present,100
n_icd_present,194076
percent_icd_present,99.17
n_rvs_present,99239
percent_rvs_present,50.71
