Variable,Value
year,2019
n_total,7110952
n_age_consistent,6816302
percent_age_consistent,95.86
n_date_adm_orig_present,7110952
percent_date_adm_orig_present,100
n_date_dis_orig_present,7110952
percent_date_dis_orig_present,100
n_date_rec_orig_present,7110952
percent_date_rec_orig_present,100
n_date_ref_orig_present,1519770
percent_date_ref_orig_present,21.37
n_date_check_orig_present,7110319
percent_date_check_orig_present,99.99
n_pat_bdate_orig_present,5114460
percent_pat_bdate_orig_present,71.92
n_date_ext_orig_present,7110952
percent_date_ext_orig_present,100
n_time_adm_orig_present,7110952
percent_time_adm_orig_present,100
n_time_dis_orig_present,7110952
percent_time_dis_orig_present,100
n_icd_present,6936828
percent_icd_present,97.55
n_rvs_present,2690604
percent_rvs_present,37.84
