Variable,Value
year,2023
n_total,5796861
n_age_consistent,5796861
percent_age_consistent,100
n_date_adm_orig_present,5796861
percent_date_adm_orig_present,100
n_date_dis_orig_present,5796861
percent_date_dis_orig_present,100
n_date_rec_orig_present,5796861
percent_date_rec_orig_present,100
n_date_ref_orig_present,368128
percent_date_ref_orig_present,6.35
n_date_check_orig_present,5792159
percent_date_check_orig_present,99.92
n_pat_bdate_orig_present,0
percent_pat_bdate_orig_present,0
n_date_ext_orig_present,5796861
percent_date_ext_orig_present,100
n_time_adm_orig_present,5796861
percent_time_adm_orig_present,100
n_time_dis_orig_present,5796861
percent_time_dis_orig_present,100
n_icd_present,5762596
percent_icd_present,99.41
n_rvs_present,2708465
percent_rvs_present,46.72
