raw_code,mapped_code
99460,_
N390,N390
P239,P239
E835,E835
E878,E878
E875,E875
A099,A099
K660,K660
J4590,J459
C19T1,_
B829,B829
C19X1,_
I219,I219
C19T2,_
J36,J36
I101,I10
I639,I639
G723,G723
A152,A152
J960,J960
C19T3,_
J1892,J189
J209,J209
T675,T675
A971,_
I099,I099
O720,O720
P369,P369
I109,I10
Z01203,Z012
E108,E108
I619,I619
O244,O244
N185,N185
K599,K599
A499,A499
K831,K831
I500,I500
F239,F239
N179,N179
L039,L039
I120,I120
R571,R571
K639,K639
D649,D649
O200,O200
A060,A060
K567,K567
K291,K291
S0651,S0651
J449,J449
D329,D329
M159,M159
C19AT1,_
C221,C221
I678,I678
A199,A199
C20,C20
P221,P221
B651,B651
R570,R570
A970,_
P073,P073
D374,D374
P071,P071
D62,D62
R560,R560
G419,G419
P240,P240
L032,L032
Z01204,Z012
H811,H811
K830,K830
J22,J22
D638,D638
M358,M358
K297,K297
A062,A062
P220,P220
P025,P025
I259,I259
Z390,Z390
I119,I119
S0600,S0600
R568,R568
G403,G403
R42,R42
J1893,J189
I633,I633
P241,P241
J90,J90
A419,A419
Z0168,Z016
J683,J683
P001,P001
I638,I638
P009,P009
P619,P619
J849,J849
P230,P230
I639G467,_
P394,P394
S021,S021
C61,C61
T931,T931
D591,D591
J1899Y95,_
K529,K529
L031,L031
K279,K279
P219,P219
A418,A418
A061,A061
M1900,M190
E46,E46
K746,K746
K566,K566
K040,K040
J111,J111
P209,P209
E110,E110
K904,K904
E115,E115
E117,E117
E162,E162
E141,E141
I059,I059
F200,F200
A169,A169
E145,E145
A010,A010
I214,I214
P051,P051
I635,I635
G931,G931
B349,B349
E119,E119
I48,I48
J4500,J450
O731,O731
Q431,Q431
G060,G060
D509,D509
K801,K801
J852,J852
D152,D152
S0270,S0270
K318,K318
T009,T009
T784,T784
N288,N288
I209,I209
F209,F209
B09,B09
K760,K760
S019,S019
C19IP2,_
J81,J81
C910,C910
H669,H669
O141,O141
G934,G934
N10,N10
K500,K500
K274,K274
J984,J984
B019,B019
M869,M869
O988,O988
G439,G439
Q897,Q897
P011,P011
I509,I509
O998,O998
P003,P003
T008,T008
J441,J441
L021,L021
M1999,M1999
I210,I210
E876,E876
O210,O210
I611,I611
P019,P019
N309,N309
Z01206,Z012
O600,O600
D539,D539
O039,O039
J690,J690
H819,H819
G629,G629
J069,J069
K573,K573
T609,T609
O995,O995
I609,I609
F312,F312
N939,N939
T782,T782
R54,R54
E116,E116
T793,T793
G510,G510
A168,A168
G442,G442
G459,G459
O211,O211
A090,A090
D431,D431
G935,G935
J679,J679
K30,K30
G20,G20
P368,P368
P034,P034
Z0052,Z005
J068,J068
G450,G450
G938,G938
Z01208,Z012
L028,L028
C509,C509
Z01205,Z012
J1802,J180
G409,G409
J039,J039
E106,E106
B348,B348
F064,F064
T212,T212
I269,I269
N61,N61
I634,I634
D500,D500
M329,M329
C19IP4,_
P598,P598
N209,N209
I200,I200
B659,B659
N12,N12
E880,E880
B371J172,_
M1099,M1099
C787,C787
N189,N189
M5416,M5416
G401,G401
T789,T789
L030,L030
A972,_
K122,K122
K210,K210
C19PP1,_
H050,H050
I499,I499
C19X2,_
H813,H813
Z01211,Z012
M1000,M1000
J969,J969
T255,T255
Z010B,_
T824,T824
Z0062,Z006
M5439,M5439
P393,P393
O723,O723
Z01210,Z012
C349,C349
A160,A160
J709,J709
