Variable,Value
year,2021
n_total,3554947
n_age_consistent,3402789
percent_age_consistent,95.72
n_date_adm_orig_present,3554947
percent_date_adm_orig_present,100
n_date_dis_orig_present,3554947
percent_date_dis_orig_present,100
n_date_rec_orig_present,3554947
percent_date_rec_orig_present,100
n_date_ref_orig_present,387754
percent_date_ref_orig_present,10.91
n_date_check_orig_present,3552702
percent_date_check_orig_present,99.94
n_pat_bdate_orig_present,2700049
percent_pat_bdate_orig_present,75.95
n_date_ext_orig_present,3554947
percent_date_ext_orig_present,100
n_time_adm_orig_present,3554947
percent_time_adm_orig_present,100
n_time_dis_orig_present,3554947
percent_time_dis_orig_present,100
n_icd_present,3515349
percent_icd_present,98.89
n_rvs_present,1988496
percent_rvs_present,55.94
