raw_code,mapped_code
J709,J709
J1593,J159
B509,B509
P358,P358
T941,T941
H819,H819
C798,C798
I120,I120
M1309,M1309
M4307,M4307
E105,E105
M1090,M1090
S340,S340
C55,C55
K277,K277
T754,T754
J100,J100
59401,_
F341,F341
F259,F259
M7986,M7986
M948,M948
O721,O721
M5419,M5419
M1007,M1007
Z349,Z349
T940,T940
I672,I672
G959,G959
K319,K319
C310,C310
D479,D479
O149,O149
E340,E340
G510,G510
P201,P201
B058,B058
M329,M329
N419,N419
N709,N709
M1996,M199
A09E861,A09
M5449,M5449
S460,S460
J689,J689
K805,K805
M4781,M4781
Q068,Q068
M4306,M4306
F430,F430
J038,J038
K824,K824
A199,A199
D381,D381
O064,O064
I129,I129
T232,T232
T630,T630
E052,E052
G440,G440
E43,E43
M750,M750
T252,T252
I630,I630
E41,E41
E140,E140
I607,I607
H601,H601
M1006,M1006
J939,J939
G939,G939
G519,G519
K276,K276
A0990E861,A09
P034,P034
T798,T798
R571,R571
K254,K254
P53,P53
I850,I850
S224,S224
D180,D180
L721,L721
T780,T780
O996,O996
Q040,Q040
K598,K598
O470,O470
K821,K821
N170,N170
I613,I613
I802,I802
F315,F315
P38,P38
Q250,Q250
G930,G930
E730,E730
J200,J200
A86,A86
I240,I240
P008,P008
P598,P598
N039,N039
G500,G500
J680,J680
Q210,Q210
A161,A161
N803,N803
P611,P611
P701,P701
P831,P831
P070,P070
M5452,M545
S2200,S2200
Q213,Q213
G049,G049
C029,C029
E780,E780
K578,K578
I615,I615
A379,A379
K830,K830
K831,K831
I719,I719
H660,H660
A488,A488
M543,M543
G404,G404
P361,P361
M609,M609
H810,H810
M1911,M1911
O730,O730
O364,O364
T002,T002
S0600W0799,_
T212,T212
I309,I309
R578,R578
E15,E15
Z356,Z356
O365,O365
M0695,M0695
E145,E145
B949,B949
I208,I208
G430,G430
M7991,M7991
J941,J941
E273,E273
P003,P003
I778,I778
L022,L022
M303,M303
O860,O860
D70,D70
O13,O13
A063,A063
N800,N800
N028,N028
C499,C499
L029,L029
F322,F322
A90,A90
M0686,M0686
I498,I498
M359,M359
S223,S223
I00,I00
T782,T782
S911,S911
I278,I278
I610,I610
A022,A022
I270,I270
Z340,Z340
O410,O410
A799,A799
N309,N309
D589,D589
D62,D62
L120,L120
C837,C837
I159,I159
I211,I211
B820,B820
Q444,Q444
T629,T629
G20,G20
T291,T291
H050,H050
C241,C241
O990,O990
A157,A157
N12,N12
S0660,S0660
Q281,Q281
C911,C911
N040,N040
S098,S098
I490,I490
N312,N312
M758,M758
O994,O994
E142N083,_
E110,E110
M5326,M5326
S000,S000
G031,G031
A099E861,A09
J029,J029
E631,E631
I518,I518
N733,N733
I891,I891
P914,P914
J132,J13
C56,C56
F319,F319
Q423,Q423
T783,T783
K851,K851
D593,D593
C920,C920
M600,M600
M320,M320
I38,I38
O85,O85
I501,I501
M0099,M0099
M0689,M0689
K045,K045
H651,H651
N319,N319
D320,D320
H813,H813
M5437,M5437
T549,T549
M5416,M5416
P220,P220
J1293,J129
M0899,M0899
M0699,M0699
N938,N938
M6289,M6289
I258,I258
N508,N508
F59,F59
O479,O479
E039,E039
F318,F318
S818,S818
O244,O244
O240,O240
M1306,M1306
K296,K296
I201,I201
H409,H409
P353,P353
A153,A153
I256,I256
A35,A35
K811,K811
S669,S669
F488,F488
T600,T600
D569,D569
G458,G458
N840,N840
B052J17,_
O717,O717
P233,P233
I311,I311
E501,E501
K575,K575
P001,P001
K260,K260
O218,O218
I629,I629
D259,D259
M1919,M1919
G64,G64
M436,M436
S011,S011
M4796,M4796
G308,G308
M629,M629
M4782,M4782
S0650,S0650
N809,N809
K862,K862
T509,T509
N281,N281
I428,I428
P015,P015
E835,E835
O339,O339
O034,O034
F058,F058
F069,F069
K272,K272
S619,S619
D619,D619
K752,K752
K528,K528
B199,B199
I241,I241
O759,O759
O758,O758
I212,I212
O678,O678
O718,O718
I238,I238
O713,O713
N082,N082
E142,E142
0809,_
Z392,Z392
P0000,_
K20,K20
O649,O649
O654,O654
O140,O140
O821,O821
N083,N083
N138,N138
M103,M103
I249,I249
Z491,Z491
Z379,Z379
Q613,Q613
N119,N119
A244,A244
U05,_
N019,N019
O800,O800
Z300,Z300
C71,C719
C53,C539
C08,C089
C50,C509
C11,C119
L918,L918
O702,O702
C34,C349
Z308,Z308
U04,U049
O700,O700
E143,E143
H360,H360
H262,H262
E112,E112
Y560,_
M1009,M1009
N320,N320
M179,M179
S517,S517
E86,E86
N08,_
C18,C189
H264,H264
Q615,Q615
O699,O699
Z381,Z381
H271,H271
H11,H119
J018,J018
H1100,H110
H3602,H3602
H352,H352
R18,R18
L97,L97
H402,H402
T150,T150
H110,H110
O820,O820
O060,O060
O045,O045
O703,O703
O814,O814
O681,O681
N142,N142
M1039,M1039
D179,D179
Z301,Z301
N859,N859
K221,K221
M8000,M8000
S5250,S5250
O342,O342
K638,K638
O418,O418
K359,K359
O80,O809
K640,_
H2590,H259
O619,O619
S525,S525
N63,N63
D24,D24
K409,K409
H353,H353
N401,N40
J320,J320
K35,K359
Q612,Q612
K602,K602
K648,_
Y834,_
H259,H259
N140,N140
S810,S810
V899,_
J060,J060
H023,H023
H433,H433
A091,A09
M139,M139
D64,D649
Q668,Q668
M069,M069
I698,I698
I679,I679
G467,G467
J47,J47
J450,J450
O021,O021
D485,D485
O690,O690
N841,N841
M6534,M6534
1,_
I842,I842
S434,S434
L82,L82
L720,L720
O421,O421
L858,L858
S721,S721
H619,H619
R220,R220
S420,S420
M1030,M1030
H1101,H110
S4100,S410
S610,S610
L089,L089
T393,T393
E1451,E145
C5090,C509
L932,L932
N141,N141
I517,I517
I313,I313
S680,S680
K621,K621
R62,R629
E103,E103
O001,O001
K922,K922
O829,O829
D758,D758
M511,M511
R064,R064
O623,O623
H357,H357
H269,H269
N110,N110
I139,I139
N72,N72
N889,N889
N328,N328
N750,N750
S819,S819
M199,M199
D487,D487
M659,M659
S519,S519
L89,L89
S618,S618
J189,J189
B659,B659
J459,J459
M402,M402
I071,I071
E789,E789
I438,I438
R58,R58
R252,R252
O691,O691
O322,O322
D131,D131
I959,I959
O020,O020
E1134,E113
92,_
H4020,H402
J329,J329
J348,J348
H4021,H402
H2640,H264
C504,C504
O689,O689
O054,O054
C5091,C509
M8500,M8500
M8910,M8910
M9391,M9391
M8822,_
D481,D481
C109,C109
C844,C844
C851,C851
M9510,M951
C692,C692
I859,I859
H332,H332
C541,C541
C770,C770
M8861,_
J303,J303
M9440,_
K403,K403
J370,J370
M8070,_
C300,C300
H3301,H330
O680,O680
N8000,N800
O701,O701
O801,O801
M8562,M8562
M8200,M8200
K838,K838
H001,H001
L929,L929
K317,K317
K635,K635
N950,N950
L73,L739
K8010,K801
N832,N832
S0151,S0151
N359,N359
M8010,M8010
K37,K37
M654,M654
C181,C181
L600,L600
C210,C210
S835,S835
M222,M222
M8802,M880
M540,M540
Z511,Z511
B169,B169
D580,D580
K269,K269
I050,I050
Q233,Q233
I845,I845
E049,E049
I272,I272
K661,K661
T143,T143
S832,S832
R229,R229
L732,L732
M480,M480
Z988,Z988
C80,C80
C819,C819
H333,H333
S423,S423
E042,E042
S931,S931
H330,H330
H400,H400
H335,H335
J382,J382
O757,O757
S602,S602
N649,N649
Z961,Z961
J343,J343
R590,R590
O332,O332
K25,K259
N971,N971
L023,L023
J342,J342
R02,R02
S681,S681
M8666,M8666
C929,C929
H16,H169
H33,_
H119,H119
H472,H472
H36,_
K828,K828
L922,L922
D473,D473
E790,E790
K358,K358
M653,M653
R222,R222
H3530,H353
H0010,H001
H744,H744
N13,N139
Z121,Z121
Z39,_
J00,J00
W199,_
Z389,_
S6100,S610
I841,I841
B05,B059
O639,O639
Z321,Z321
E118,E118
I714,I714
Z9880,Z988
M674,M674
M100,M100
P0001,_
S9311,S931
0,_
S318,S318
M7540,M754
S0310,S031
K519,K519
S8220,S8220
K623,K623
S9131,S913
T814,T814
Z895,Z895
W3400,_
S821,S821
M869,M869
T846,T846
S729,S729
M796,M796
Z039,Z039
M6581,M6581
W34,_
D172,D172
W55,_
T141,T141
C493,C493
J698,J698
O321,O321
G309,G309
F009,F009
S026,S026
H2591,H259
C02,C029
C49,C499
L60,L609
M8210,M8210
D059,D059
H3601,H3601
H4401,H440
H4310,H431
E1410,E141
H3600,H3600
H2090,H209
H3552,H355
H2092,H209
H3570,H357
H0011,H001
C8010,C80
C322,C322
D106,D106
T023,T023
J380,J380
D375,D375
E041,E041
K449,K449
K515,K515
K8012,K801
016,_
0410,_
H2511,H251
R609,R609
K228,K228
M8041,M8041
E149,E149
B052,B052
J171,J171
C64,C64
J324,J324
E890,E890
