raw_code,mapped_code
J1892,J189
A099,A099
J209,J209
I119,I119
J4590,J459
99460,_
J069,J069
K291,K291
N390,N390
I101,I10
K297,K297
A971,_
A090,A090
J4500,J450
S0600,S0600
G459,G459
J039,J039
A060,A060
H811,H811
K219,K219
K318,K318
I109,I10
B349,B349
M0699,M0699
S817,S817
T001,T001
I259,I259
K30,K30
E162,E162
A169,A169
R560,R560
M0690,M0690
L031,L031
F100,F100
I638,I638
J36,J36
J678,J678
J068,J068
G900,G900
L020,L020
D649,D649
T636,T636
C713,C713
M1399,M1399
K295,K295
G952,G952
K274,K274
O233,O233
K210,K210
O421,O421
I110,I110
S011,S011
S0601,S0601
A049,A049
N10,N10
M864,M864
N009,N009
G409,G409
P239,P239
E116,E116
I500,I500
L029,L029
J849,J849
A062,A062
J960,J960
I639,I639
T784,T784
K279,K279
K760,K760
N189,N189
P220,P220
E876,E876
A167,A167
A970,_
M311,M311
A010,A010
I209,I209
A161,A161
M6268,M6268
T009,T009
A162,A162
O268,O268
P081,P081
B829,B829
B199,B199
A419,A419
E878,E878
J81,J81
N289,N289
M353,M353
G629,G629
J683,J683
I678,I678
L039,L039
O600,O600
J1893,J189
P073,P073
A911,A911
K276,K276
K273,K273
J449,J449
E109,E109
59401,_
AO99E861,_
S2200,S2200
Z0013,Z001
N179,N179
J111,J111
I48,I48
J981,J981
B052J171,_
E145,E145
C169,C169
A499,A499
D638,D638
E871,E871
N40,N40
M4796,M4796
K859,K859
Q909,Q909
R509,R509
E861,E86
H814,H814
E119,E119
O985,O985
S099,S099
K766,K766
K746,K746
J441,J441
M0094,M0094
T781,T781
J90,J90
E111,E111
P051,P051
O210,O210
I248,I248
A152,A152
I212,I212
I674,I674
P221,P221
P012,P012
L032,L032
J1802,J180
B059,B059
A163,A163
B949,B949
J938,J938
P034,P034
D500,D500
P968,P968
N055,N055
G441,G441
N319,N319
N130,N130
P025,P025
J1292,J129
G419,G419
K299,K299
N200,N200
O996,O996
B069,B069
J988,J988
K566,K566
I880,I880
S012,S012
I00,I00
P369,P369
O200,O200
B058,B058
A920,A920
S390,S390
S0620,S0620
S0290,S0290
D259,D259
M545,M545
J46,J46
M1099,M1099
F453,F453
T940,T940
I499,I499
P249,P249
N19,N19
O218,O218
K292,K292
R568,R568
T793,T793
N049,N049
M1000,M1000
O211,O211
K590,K590
G442,G442
K801,K801
E101,E101
G308,G308
P368,P368
P240,P240
A819,A819
M7920,M7920
J440,J440
K904,K904
J060,J060
T857,T857
G403,G403
K565,K565
M1009,M1009
I251,I251
D690,D690
S0630,S0630
T522,T522
T520,T520
S0650,S0650
S021,S021
P017,P017
P38,P38
O230,O230
S0610,S0610
K599,K599
I129,I129
M7911,M7911
E46,E46
J22,J22
K831,K831
K567,K567
R571,R571
K650,K650
I131,I131
