Variable,Value
year,2020
n_total,4416062
n_age_consistent,4242330
percent_age_consistent,96.07
n_date_adm_orig_present,4416062
percent_date_adm_orig_present,100
n_date_dis_orig_present,4416062
percent_date_dis_orig_present,100
n_date_rec_orig_present,4416062
percent_date_rec_orig_present,100
n_date_ref_orig_present,528530
percent_date_ref_orig_present,11.97
n_date_check_orig_present,4415201
percent_date_check_orig_present,99.98
n_pat_bdate_orig_present,3334424
percent_pat_bdate_orig_present,75.51
n_date_ext_orig_present,4416062
percent_date_ext_orig_present,100
n_time_adm_orig_present,4416062
percent_time_adm_orig_present,100
n_time_dis_orig_present,4416062
percent_time_dis_orig_present,100
n_icd_present,4341040
percent_icd_present,98.3
n_rvs_present,2233470
percent_rvs_present,50.58
