phl_icd10,tdrg_icd10
N308,N308
N185,N185
J4500,J450
J440,J440
J111,J111
A419,A419
J039,J039
J1892,J189
J1893,J189
N390,N390
K279,K279
K291,K291
O600,O600
I109,I10
P0000,P000
N10,N10
P239,P239
P60,P60
J101,J101
I678,I678
I499,I499
A160,A160
A099,A099
J4590,J459
J704,J704
I101,I10
O998,O998
I609,I609
D500,D500
J209,J209
E876,E876
C499,C499
E116,E116
J441,J441
I500,I500
P369,P369
N946,N946
J069,J069
P011,P011
I638,I638
A010,A010
P249,P249
T629,T629
G459,G459
Z01219,Z012
D630,D630
O210,O210
I639,I639
O800,O800
Z370,Z370
Z392,Z392
Z491,Z491
D638,D638
I120,I120
O809,O809
T028,T028
S610,S610
Z380,Z380
N189,N189
E142,E142
N083,N083
I713,I713
O064,O064
P071,P071
P220,P220
P614,P614
P599,P599
P398,P398
H3512,H351
P073,P073
Q647,Q647
Q531,Q531
N200,N200
I48,I48
J988,J988
N289,N289
I129,I129
E861,E86
J22,J22
B24,B24
K219,K219
N63,N63
K297,K297
O830,O830
I119,I119
E119,E119
R55,R55
B209,B209
J984,J984
L023,L023
E789,E789
N201,N201
O034,O034
K295,K295
Z418,Z418
I842,I842
I845,I845
A162,A162
S015,S015
I259,I259
N40,N40
T141,T141
N039,N039
O324,O324
O621,O621
O339,O339
O821,O821
O702,O702
Q613,Q613
N139,N139
R730,R730
Z012,Z012
Z246,Z246
Z232,Z232
Z138,Z138
Z011,Z011
