phl_icd10,tdrg_icd10
P60,P60
G20,G20
P551,P551
C719,C719
G800,G800
S340,S340
G809,G809
C793,C793
S140,S140
P559,P559
P742,P742
G122,G122
A811,A811
P592,P592
P210,P210
P353,P353
P77,P77
C711,C711
P740,P740
Z510,Z510
Z511,Z511
C724,C724
C71,C719
T093,T093
S141,S141
C716,C716
G808,G808
P771,P77
C712,C712
C713,C713
P271,P271
Z930,Z930
G700,G700
P741,P741
C710,C710
P711,P711
C701,C701
